,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Height,Weight,Birthplace,Gender,Instagram,Birth,age,birth year
0,Taeyeon,Kim Taeyeon,김태연,태연,3/9/1989,SNSD,South Korea,160,44,Jeonju,F,taeyeon_ss,1989-03-09,33,1989
1,Sunny,Lee Sunkyu,이순규,써니,5/15/1989,SNSD,South Korea,158,43,California,F,svnnynight,1989-05-15,33,1989
2,Tiffany,Hwang Miyoung,황미영,티파니,8/1/1989,SNSD,South Korea,163,50,San Francisco,F,xolovestephi,1989-08-01,33,1989
3,Hyoyeon,Kim Hyoyeon,김효연,효연,9/22/1989,SNSD,South Korea,158,48,Incheon,F,watasiwahyo,1989-09-22,33,1989
4,Yuri,Kwon Yuri,권유리,유리,12/5/1989,SNSD,South Korea,167,45,Goyang,F,yulyulk,1989-12-05,33,1989
5,Sooyoung,Choi Sooyoung,최수영,수영,2/10/1990,SNSD,South Korea,170,48,Gwangju,F,hotsootuff,1990-02-10,32,1990
6,Yoona,Im Yoona,임윤아,윤아,5/30/1990,SNSD,South Korea,166,47,Seoul,F,yoona__lim,1990-05-30,32,1990
7,Seohyun,Seo Joohyun,서주현,서현,6/28/1991,SNSD,South Korea,168,48,Seoul,F,seojuhyun_s,1991-06-28,31,1991
8,Jessica,Jessica Jung,제시카 정,제시카,4/18/1989,,South Korea,0,0,,F,jessica.syj,1989-04-18,33,1989
9,CL,Lee Chaerin,이채린,씨엘,2/26/1991,2NE1,South Korea,0,0,,F,chaelincl,1991-02-26,31,1991
10,Bom,Park Bom,박봄,봄,3/24/1984,2NE1,South Korea,0,0,,F,haroobommi,1984-03-24,38,1984
11,Dara,Park Sandara,박산다라,다라,11/12/1984,2NE1,South Korea,0,0,,F,daraxxi,1984-11-12,38,1984
12,Minzy,Kong Minji,공민지,민지,1/18/1994,2NE1,South Korea,0,0,,F,,1994-01-18,28,1994
13,Hyorin,Kim Hyojung,김효정,효린,12/11/1990,SISTAR,South Korea,0,0,,F,xhyolynx,1990-12-11,32,1990
14,Bora,Yoon Bora,윤보라,보라,12/30/1989,SISTAR,South Korea,0,0,,F,borabora_sugar,1989-12-30,33,1989
15,Soyou,Kang Jihyun,강지현,소유,2/12/1992,SISTAR,South Korea,0,0,,F,soooo_you,1992-02-12,30,1992
16,Dasom,Kim Dasom,김다솜,다솜,5/6/1993,SISTAR,South Korea,0,0,,F,som0506,1993-05-06,29,1993
17,Jihyun,Nam Jihyun,남지현,지현,1/9/1990,4minute,South Korea,167,0,Seoul,F,njh9019,1990-01-09,32,1990
18,Gayoon,Heo Gayoon,허가윤,가윤,5/18/1990,4minute,South Korea,165,0,Seoul,F,gayoon_heo,1990-05-18,32,1990
19,Jiyoon,Jeon Jiyoon,전지윤,지윤,10/15/1990,4minute,South Korea,165,0,Seoul,F,jenyerjiyoon,1990-10-15,32,1990
20,HyunA,Kim Hyuna,김현아,현아,6/6/1992,4minute,South Korea,164,0,Jeolla,F,hyunah_aa,1992-06-06,30,1992
21,Sohyun,Kwon Sohyun,권소현,소현,8/30/1994,4minute,South Korea,162,0,Seoul,F,kkwonsso_94,1994-08-30,28,1994
22,Jimin,Shin Jimin,신지민,지민,1/8/1991,,South Korea,160,43,Seoul,F,jiminbaby_18,1991-01-08,31,1991
23,Choa,Park Choa,박초아,초아,3/6/1990,,South Korea,160,42,Incheon,F,queenchoa_,1990-03-06,32,1990
24,Yuna,Seo Yuna,서유나,유나,12/30/1992,AoA,South Korea,163,45,Busan,F,yn_s_1230,1992-12-30,30,1992
25,Yookyung,Seo Yookyung,서유경,유경,3/15/1993,,South Korea,167,48,,F,,1993-03-15,29,1993
26,Hyejeong,Shin Hyejeong,신혜정,혜정,8/10/1993,AoA,South Korea,170,48,Seoul,F,dongdong810,1993-08-10,29,1993
27,Mina,Kwon Mina,권민아,민아,9/21/1993,,South Korea,159,43,Busan,F,kvwowv,1993-09-21,29,1993
28,Seolhyun,Kim Seolhyun,김설현,설현,1/3/1995,AoA,South Korea,167,47,Bucheon,F,sh_9513,1995-01-03,27,1995
29,Chanmi,Kim Chanmi,김찬미,찬미,6/19/1996,AoA,South Korea,166,47,Gumi,F,chanmi_96a,1996-06-19,26,1996
30,Sojin,Park Sojin,박소진,소진,5/21/1986,Girl's Day,South Korea,167,47,Daegu,F,ssozi_sojin,1986-05-21,36,1986
31,Yura,Kim Ahyoung,김아영,유라,11/6/1992,Girl's Day,South Korea,168,49,Ulsan,F,yura_936,1992-11-06,30,1992
32,Minah,Bang Minah,방민아,민아,5/13/1993,Girl's Day,South Korea,165,47,Incheon,F,bbang_93,1993-05-13,29,1993
33,Hyeri,Lee Hyeri,이혜리,혜리,6/9/1994,Girl's Day,South Korea,167,46,Gwangju,F,hyeri_0609,1994-06-09,28,1994
34,Jea,Kim Hyojin,김효진,제아,9/18/1981,Brown Eyed Girls,South Korea,0,0,,F,jeaworld,1981-09-18,41,1981
35,Miryo,Jo Mihye,조미혜,미료,11/2/1981,Brown Eyed Girls,South Korea,0,0,,F,miryoakajohoney,1981-11-02,41,1981
36,Narsha,Park Hyojin,박효진,나르샤,12/28/1981,Brown Eyed Girls,South Korea,0,0,,F,narsha81,1981-12-28,41,1981
37,Gain,Son Gain,손가인,가인,9/20/1987,Brown Eyed Girls,South Korea,0,0,,F,songain87,1987-09-20,35,1987
38,Chorong,Park Chorong,박초롱,초롱,3/3/1991,Apink,South Korea,165,0,Chungwongoon,F,mulgokizary,1991-03-03,31,1991
39,Bomi,Yoon Bomi,윤보미,보미,8/13/1993,Apink,South Korea,163,0,Suwon,F,,1993-08-13,29,1993
40,Eunji,Jung Eunji,정은지,은지,8/18/1993,Apink,South Korea,163,0,Busan,F,artist_eunji,1993-08-18,29,1993
41,Naeun,Son Naeun,손나은,나은,2/10/1994,,South Korea,168,0,Seoul,F,marcella_the_naeun,1994-02-10,28,1994
42,Namjoo,Kim Namjoo,김남주,남주,4/15/1995,Apink,South Korea,165,0,Seoul,F,sarangdungy,1995-04-15,27,1995
43,Hayoung,Oh Hayoung,오하영,하영,7/19/1996,Apink,South Korea,167,0,Seoul,F,o_h_y_y,1996-07-19,26,1996
44,Solji,Heo Solji,허솔지,솔지,1/10/1989,EXID,South Korea,170,0,Seongnam,F,soul.g_heo,1989-01-10,33,1989
